path,class,lesion_ratio,estimated_level,manual_grade
data/PlantVillage/raw/color\Apple___Apple_scab\5dbcba87-93fa-4c21-8abd-bc20c93b359f___FREC_Scab 3258.JPG,Apple___Apple_scab,0.0331,healthy,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\8a30d4c5-0065-4981-aee2-2f4cb7ac22ae___NREC_B.Spot 1887.JPG","Pepper,_bell___Bacterial_spot",0.2649,moderate,
data/PlantVillage/raw/color\Tomato___Target_Spot\887c5359-fb30-4e3a-86cd-d35bca0699eb___Com.G_TgS_FL 7991.JPG,Tomato___Target_Spot,0.0672,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\80b5095a-7f0e-45e8-841d-173f77a3b623___CREC_HLB 3928.JPG,Orange___Haunglongbing_(Citrus_greening),0.1812,mild,
data/PlantVillage/raw/color\Tomato___Target_Spot\dbd393bd-b5db-4edc-a416-a52ac8b37b7c___Com.G_TgS_FL 8201.JPG,Tomato___Target_Spot,0.1559,mild,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\61cfe32d-d9cd-4ee4-a8db-5da174570897___FAM_B.Msls 4074.JPG,Grape___Esca_(Black_Measles),0.1634,mild,
data/PlantVillage/raw/color\Potato___Late_blight\dc289122-aa0d-454b-b617-16824440fce4___RS_LB 2959.JPG,Potato___Late_blight,0.4987,moderate,
data/PlantVillage/raw/color\Tomato___Target_Spot\dbb50cba-a410-49af-a95f-ac53d5fc9af3___Com.G_TgS_FL 8295.JPG,Tomato___Target_Spot,0.1554,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\be4476a9-c03a-4166-bd89-fd39ec64a3e9___CREC_HLB 4574.JPG,Orange___Haunglongbing_(Citrus_greening),0.2250,moderate,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\e277b59d-2e55-4117-92c7-93996599ef02___GCREC_Bact.Sp 3168.JPG,Tomato___Bacterial_spot,0.0064,healthy,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\4fd2b622-36f6-454c-ba76-d5e89a2280d1___CREC_HLB 4277.JPG,Orange___Haunglongbing_(Citrus_greening),0.0212,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\579ba9c1-f11d-46db-9280-35b7c8b99109___UF.GRC_YLCV_Lab 02649.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.2128,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\3b8ea861-6f50-4e0e-b3a3-7360e47c2d47___UF.GRC_YLCV_Lab 01680.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0254,healthy,
data/PlantVillage/raw/color\Apple___Apple_scab\0ea78733-9404-4536-8793-a108c66269b3___FREC_Scab 3145.JPG,Apple___Apple_scab,0.0584,mild,
data/PlantVillage/raw/color\Squash___Powdery_mildew\d92e1697-73e6-4acd-aab7-53e0037c7bed___MD_Powd.M 0574.JPG,Squash___Powdery_mildew,0.2166,moderate,
data/PlantVillage/raw/color\Tomato___Spider_mites Two-spotted_spider_mite\f7b7b4c8-1420-4ffe-ba64-97be026edeb4___Com.G_SpM_FL 8978.JPG,Tomato___Spider_mites Two-spotted_spider_mite,0.2763,moderate,
